,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
518599,NC,Mecklenburg County,37,119,9/21/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518600,NC,Mecklenburg County,37,119,9/22/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518601,NC,Mecklenburg County,37,119,9/23/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518602,NC,Mecklenburg County,37,119,9/24/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518603,NC,Mecklenburg County,37,119,9/25/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518604,NC,Mecklenburg County,37,119,9/26/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518605,NC,Mecklenburg County,37,119,9/27/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518606,NC,Mecklenburg County,37,119,9/28/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518607,NC,Mecklenburg County,37,119,9/29/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518608,NC,Mecklenburg County,37,119,9/30/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518609,NC,Mecklenburg County,37,119,10/1/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518610,NC,Mecklenburg County,37,119,10/2/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO169-Phase-3.pdf,"N.C. Exec. Order No. 169 (Sept. 30, 2020)"
